title,description,price,date_place
BMW K1200 GT,"Ich habe meine wunderbare und bequeme Reisemaschine zu verkaufen. Sie hat mich vor zwei Jahren um die Iberische Halbinsel bis nach Gibraltar gebracht.
Sie hat 69?000 km, ist frisch ab Service, mit neuem Vor- und Hinterrad Reifen ausgestattet, inkl. 2 Koffer in Fz-Farben und einem 35 lt GIVI-Topcase, Griff- und Sitzheizung, elektrisch verstellbare Frontscheibe und Tempomat, zum Losfahrpreis, Probefahrt in Wattwil erwünscht",No price found,No date & place found
"Ich habe meine wunderbare und bequeme Reisemaschine zu verkaufen. Sie hat mich vor zwei Jahren um die Iberische Halbinsel bis nach Gibraltar gebracht.
Sie hat 69?000 km, ist frisch ab Service, mit neuem Vor- und Hinterrad Reifen ausgestattet, inkl. 2 Koffer in Fz-Farben und einem 35 lt GIVI-Topcase, Griff- und Sitzheizung, elektrisch verstellbare Frontscheibe und Tempomat, zum Losfahrpreis, Probefahrt in Wattwil erwünscht","Möchte sehr wahrscheinlich meine Puch Maxi verkaufen, da ich keine Zeit und Freude mehr habe.
Verbaut ist ein E50 Motor, 50ccm Zyliner, 15er Vergaser und eine Reso Zigarre.
Läuft um die 55-60km/h
Auf Wunsch kann das Töffli Original gemacht werden.",No price found,No date & place found
Puch Maxi S Mofa,"Möchte sehr wahrscheinlich meine Puch Maxi verkaufen, da ich keine Zeit und Freude mehr habe.
Verbaut ist ein E50 Motor, 50ccm Zyliner, 15er Vergaser und eine Reso Zigarre.
Läuft um die 55-60km/h
Auf Wunsch kann das Töffli Original gemacht werden.",No price found,No date & place found
"Möchte sehr wahrscheinlich meine Puch Maxi verkaufen, da ich keine Zeit und Freude mehr habe.
Verbaut ist ein E50 Motor, 50ccm Zyliner, 15er Vergaser und eine Reso Zigarre.
Läuft um die 55-60km/h
Auf Wunsch kann das Töffli Original gemacht werden.","Vendo motorino scooter giapponese 
Yamaha aerox molto bello
Perfetto in tutto , gomma posteriore nuova
Tagliando appena fatto
Lo vendo collaudato 
Targa gialla età a partire da 15 anni .
10/2021",No price found,No date & place found
Yamaha aerox 50cc targa gialla,"Vendo motorino scooter giapponese 
Yamaha aerox molto bello
Perfetto in tutto , gomma posteriore nuova
Tagliando appena fatto
Lo vendo collaudato 
Targa gialla età a partire da 15 anni .
10/2021",No price found,No date & place found
"Vendo motorino scooter giapponese 
Yamaha aerox molto bello
Perfetto in tutto , gomma posteriore nuova
Tagliando appena fatto
Lo vendo collaudato 
Targa gialla età a partire da 15 anni .
10/2021","Gut erhaltene, schwarze Harley XL883L, Jahrgang 2011 mit 15530 km, ab Platz. Es gibt noch div. Zubehör.",No price found,No date & place found
Gut erhaltene Harley-Davidson XL883L,"Gut erhaltene, schwarze Harley XL883L, Jahrgang 2011 mit 15530 km, ab Platz. Es gibt noch div. Zubehör.",No price found,No date & place found
"Gut erhaltene, schwarze Harley XL883L, Jahrgang 2011 mit 15530 km, ab Platz. Es gibt noch div. Zubehör.","Original Harley Davidson Screaming Eagle Endtopf in Fishtail Form. 
Gebraucht  Optisch neuwerttig. Streetlegal in Californien.
Passt ab TC 96 Motor,  wird hinter die Klappensteuerung montiert, einfach nur Schelle lösen,  tauschen, festziehen.
Super Sound.. aber nicht zu laut..",No price found,No date & place found
Screaming Eagle Muffler Fischtail Harley Ab TC 96 Motor,"Original Harley Davidson Screaming Eagle Endtopf in Fishtail Form. 
Gebraucht  Optisch neuwerttig. Streetlegal in Californien.
Passt ab TC 96 Motor,  wird hinter die Klappensteuerung montiert, einfach nur Schelle lösen,  tauschen, festziehen.
Super Sound.. aber nicht zu laut..",No price found,No date & place found
"Original Harley Davidson Screaming Eagle Endtopf in Fishtail Form. 
Gebraucht  Optisch neuwerttig. Streetlegal in Californien.
Passt ab TC 96 Motor,  wird hinter die Klappensteuerung montiert, einfach nur Schelle lösen,  tauschen, festziehen.
Super Sound.. aber nicht zu laut..","2 Takt Rakete.
KTM 500 MX 2 Takt.
5000.-CHF

Honda CR
Yamaha YZ
Suzuki RM
Kawasaki KX",No price found,No date & place found
