title,date,price,description,place,condition,age,location,other_features,days_posted,days_until_sold
Aprilia Tuono 660,2025-01-22,CHF 5'874,"Excellent condition, well-maintained aprilia tuono 660 with 35363 km.",Lausanne,used,15,Lausanne,Custom paint job,5,28
Ducati Monster 821,2025-01-14,CHF 19'532,"Excellent condition, well-maintained ducati monster 821 with 21080 km.",Rapperswil,new,17,Rapperswil,Touring package,11,5
Honda Rebel 500,2025-01-27,CHF 4'078,"Excellent condition, well-maintained honda rebel 500 with 3654 km.",Bulle,damaged,24,Bulle,ABS,44,70
Honda Rebel 500,2025-01-17,CHF 8'733,"Excellent condition, well-maintained honda rebel 500 with 35673 km.",Chur,used,16,Chur,Akrapovic exhaust,26,15
Aprilia Shiver 900,2025-02-25,CHF 4'553,"Excellent condition, well-maintained aprilia shiver 900 with 9694 km.",Fribourg,used,24,Fribourg,Custom paint job,3,2
Aprilia Tuono 660,2025-03-16,CHF 11'711,"Excellent condition, well-maintained aprilia tuono 660 with 30360 km.",Chur,like new,23,Chur,Akrapovic exhaust,54,90
Suzuki Burgman 400,2025-02-07,CHF 10'849,"Excellent condition, well-maintained suzuki burgman 400 with 2714 km.",Baden,used,28,Baden,ABS,42,60
Honda Africa Twin,2025-02-28,CHF 9'095,"Excellent condition, well-maintained honda africa twin with 33301 km.",Lausanne,like new,26,Lausanne,ABS,44,10
Honda CBR 500R,2025-03-30,CHF 11'791,"Excellent condition, well-maintained honda cbr 500r with 14272 km.",Aarau,new,7,Aarau,ABS,52,7
Aprilia RSV4,2025-03-06,CHF 10'726,"Excellent condition, well-maintained aprilia rsv4 with 9660 km.",Uster,like new,11,Uster,Akrapovic exhaust,25,40
Honda CBR 500R,2025-02-26,CHF 14'978,"Excellent condition, well-maintained honda cbr 500r with 28161 km.",Bulle,new,20,Bulle,Akrapovic exhaust,50,3
BMW R1250GS,2025-01-22,CHF 1'518,"Excellent condition, well-maintained bmw r1250gs with 22005 km.",Uster,new,18,Uster,None,49,100
Suzuki Burgman 400,2025-02-27,CHF 18'731,"Excellent condition, well-maintained suzuki burgman 400 with 16332 km.",Biel,like new,21,Biel,None,10,45
Suzuki V-Strom 650,2025-03-15,CHF 5'444,"Excellent condition, well-maintained suzuki v-strom 650 with 21115 km.",Bern,damaged,22,Bern,Touring package,13,8
Suzuki GSX-R600,2025-03-21,CHF 18'468,"Excellent condition, well-maintained suzuki gsx-r600 with 28709 km.",Bulle,like new,2,Bulle,ABS,15,25
Aprilia RSV4,2025-01-13,CHF 11'991,"Excellent condition, well-maintained aprilia rsv4 with 2660 km.",Baden,new,15,Baden,None,41,30
Triumph Tiger 900,2025-03-13,CHF 17'083,"Excellent condition, well-maintained triumph tiger 900 with 40417 km.",Basel,used,29,Basel,ABS,55,120
Aprilia Tuono 660,2025-03-18,CHF 2'273,"Excellent condition, well-maintained aprilia tuono 660 with 11694 km.",Geneva,like new,0,Geneva,Akrapovic exhaust,38,50
Honda CBR 500R,2025-03-21,CHF 9'501,"Excellent condition, well-maintained honda cbr 500r with 12098 km.",Schaffhausen,like new,23,Schaffhausen,Akrapovic exhaust,20,5
Aprilia Shiver 900,2025-03-31,CHF 13'902,"Excellent condition, well-maintained aprilia shiver 900 with 13651 km.",Luzern,new,16,Luzern,Akrapovic exhaust,2,1
Honda CBR 500R,2025-02-25,CHF 12'357,"Excellent condition, well-maintained honda cbr 500r with 29347 km.",St. Gallen,damaged,22,St. Gallen,Custom paint job,51,80
Honda Rebel 500,2025-03-18,CHF 21'766,"Excellent condition, well-maintained honda rebel 500 with 42549 km.",Chur,new,8,Chur,Akrapovic exhaust,52,10
